name,span,matches,innings,not_outs,runs,highest_score,average,balls_faced,strike_rate,century,half_century,ducks,country
T Marumani,2021-2023,12.0,11,1,157,45,15.7,242,64.87,0,0,2,ZIM
MA Wood,2015-2023,66.0,26,15,157,43,14.27,156,100.64,0,0,4,ENG
MP Maynard,1994-2000,14.0,12,1,156,41,14.18,225,69.33,0,0,1,ENG
DK Morrison,1990-1996,82.0,39,24,156,20,10.4,356,43.82,0,0,6,NZ
Nasum Ahmed,2022-2023,15.0,9,2,156,44,22.28,175,89.14,0,0,0,BAN
BA Carse,2021-2023,14.0,9,4,155,32,31.0,161,96.27,0,0,0,ENG
AM Ellis,2012-2013,15.0,12,1,154,33,14.0,184,83.69,0,0,1,NZ
Mohammad Hussain,1997-1998,14.0,12,7,154,31,30.8,136,113.23,0,0,0,PAK
RML Taylor,2013-2016,15.0,14,3,154,46,14.0,172,89.53,0,0,1,SCOT
C Zhuwao,2008-2018,9.0,9,0,154,45,17.11,132,116.66,0,0,3,ZIM
Akram Raza,1990-1995,44.0,22,12,153,33,15.3,244,62.7,0,0,4,PAK
DJ Hooda,2022-2022,10.0,7,1,153,33,25.5,189,80.95,0,0,0,IND
DW Fleming,1994-2001,88.0,31,18,152,29,11.69,221,68.77,0,0,5,AUS
MDK Perera,2007-2018,13.0,12,0,152,30,12.66,199,76.38,0,0,0,SL
AJ Redmond,2009-2010,6.0,6,0,152,52,25.33,259,58.68,0,1,0,NZ
Zahoor Khan,2017-2024,62.0,40,17,152,23,6.6,269,56.5,0,0,10,UAE
MW Alleyne,1999-2000,10.0,8,1,151,53,21.57,255,59.21,0,1,0,ENG
J Anderson,2014-2016,8.0,8,0,151,39,18.87,267,56.55,0,0,0,IRE
RS Gavaskar,2004-2004,11.0,10,2,151,54,18.87,234,64.52,0,1,0,IND
VD Philander,2007-2015,30.0,19,7,151,30,12.58,213,70.89,0,0,3,SA
RG Aga,2004-2014,12.0,9,0,150,86,16.66,209,71.77,0,1,1,KENYA
AR Khurasiya,1999-2001,12.0,11,0,149,57,13.54,188,79.25,0,1,1,IND
BOP Fernando,2019-2021,8.0,8,0,148,49,18.5,230,64.34,0,0,1,SL
Sir RJ Hadlee,1990-1990,6.0,5,1,148,79,37.0,184,80.43,0,1,0,NZ
Khalid Latif,2008-2010,5.0,5,0,147,64,29.4,228,64.47,0,1,1,PAK
Nazimuddin,2008-2012,11.0,11,0,147,47,13.36,237,62.02,0,0,0,BAN
GM Strydom,2006-2006,12.0,10,0,147,58,14.7,225,65.33,0,1,2,ZIM
JA Burns,2015-2015,6.0,6,0,146,69,24.33,184,79.34,0,1,1,AUS
TS Chisoro,2015-2020,21.0,17,6,146,42,13.27,234,62.39,0,0,2,ZIM
SE Findlay,2008-2009,9.0,8,1,146,59,20.85,194,75.25,0,1,0,WI
K Zondo,2018-2021,6.0,6,1,146,54,29.2,231,63.2,0,1,0,SA
R Clarke,2003-2006,20.0,13,0,144,39,11.07,232,62.06,0,0,2,ENG
DK Liyanage,1992-2001,16.0,11,2,144,43,16.0,207,69.56,0,0,0,SL
LN Onyango,1996-2014,29.0,18,7,144,34,13.09,188,76.59,0,0,2,KENYA
Rubel Hossain,2009-2021,104.0,53,24,144,17,4.96,277,51.98,0,0,11,BAN
Shoaib Mohammad,1990-1993,10.0,10,0,144,49,14.4,359,40.11,0,0,4,PAK
HL Carlyon,2023-2023,5.0,5,0,143,85,28.6,166,86.14,0,1,0,JER
Abdur Rehman,2006-2014,31.0,23,6,142,31,8.35,263,53.99,0,0,4,PAK
EH Hutchinson,2019-2021,11.0,8,2,142,49,23.66,143,99.3,0,0,1,USA
D Langford-Smith,2006-2008,22.0,17,8,142,31,15.77,133,106.76,0,0,2,IRE
MB Loye,2007-2007,7.0,7,0,142,45,20.28,184,77.17,0,0,1,ENG
KNA Bandara,2021-2023,6.0,5,1,141,55,35.25,217,64.97,0,2,0,SL
DE Bernard,2003-2010,20.0,12,2,141,38,14.1,219,64.38,0,0,1,WI
ARC Fraser,1990-1999,36.0,20,9,141,38,12.81,208,67.78,0,0,1,ENG
OD Gibson,1995-1997,15.0,11,1,141,52,14.1,138,102.17,0,1,1,WI
CR Matthews,1991-1997,56.0,22,9,141,26,10.84,202,69.8,0,0,3,SA
A Nehra,2001-2011,120.0,46,21,141,24,5.64,246,57.31,0,0,9,IND
CAH Stevenson,2019-2022,18.0,18,5,141,34,10.84,211,66.82,0,0,3,USA
VJ Wells,1999-1999,9.0,7,0,141,39,20.14,253,55.73,0,0,0,ENG
D Williams,1990-1997,31.0,21,7,141,32,10.07,233,60.51,0,0,4,WI
M Bhanuka,2019-2021,6.0,6,0,140,36,23.33,194,72.16,0,0,0,SL
AF Buurman,2007-2011,17.0,11,2,140,34,15.55,179,78.21,0,0,2,NED
DI Gower,1990-1991,9.0,9,0,140,50,15.55,232,60.34,0,1,0,ENG
HMRKB Herath,2004-2015,71.0,30,15,140,17,9.33,217,64.51,0,0,3,SL
MV Fleming,1997-1998,11.0,10,1,139,33,15.44,137,101.45,0,0,1,ENG
JW Jenner,2023-2023,5.0,5,0,139,76,27.8,194,71.64,0,1,1,JER
SN Netravalkar,2019-2023,48.0,29,14,139,19,9.26,230,60.43,0,0,3,USA
KA Hope,2017-2017,7.0,6,0,138,46,23.0,192,71.87,0,0,0,WI
GRJ Matthews,1990-1993,13.0,11,6,137,32,27.4,185,74.05,0,0,0,AUS
ST Finn,2011-2017,69.0,30,13,136,35,8.0,223,60.98,0,0,7,ENG
Saad Bin Zafar,2023-2024,12.0,10,2,136,31,17.0,202,67.32,0,0,0,CAN
KD Shah,2014-2018,10.0,10,1,136,34,15.11,238,57.14,0,0,2,HKG
A Sharma,2023-2023,7.0,7,0,136,57,19.42,178,76.4,0,1,1,UAE
R Vijay Bharadwaj,1999-2002,10.0,9,4,136,41,27.2,194,70.1,0,0,1,IND
T Banton,2020-2020,6.0,5,0,134,58,26.8,145,92.41,0,1,0,ENG
PA Browne,2008-2008,5.0,5,1,134,49,33.5,179,74.86,0,0,0,WI
Krishna Chandran,2014-2016,12.0,10,2,134,43,16.75,274,48.9,0,0,3,UAE
Shafiul Islam,2010-2020,60.0,34,12,134,24,6.09,240,55.83,0,0,9,BAN
Arshad Khan,1993-2006,58.0,29,18,133,20,12.09,217,61.29,0,0,5,PAK
MD Bell,1998-2001,7.0,7,0,133,66,19.0,268,49.62,0,1,0,NZ
NS Dhaliwal,2024-2024,7.0,7,0,133,50,19.0,230,57.82,0,1,0,CAN
RJ Sidebottom,2001-2010,25.0,18,8,133,24,13.3,194,68.55,0,0,2,ENG
RK Chauhan,1993-1997,35.0,18,5,132,32,10.15,171,77.19,0,0,4,IND
Fayyaz Butt,2019-2023,23.0,13,5,132,32,16.5,159,83.01,0,0,1,OMA
D Keulder,2003-2003,6.0,6,0,132,52,22.0,220,60.0,0,1,1,NAM
Zawar Farid,2020-2023,10.0,8,1,132,32,18.85,139,94.96,0,0,0,UAE
Bazid Khan,2004-2008,5.0,5,0,131,66,26.2,232,56.46,0,2,1,PAK
TS Kamunhukamwe,2018-2024,12.0,12,0,131,51,10.91,164,79.87,0,1,3,ZIM
MSK Prasad,1998-1999,17.0,11,2,131,63,14.55,225,58.22,0,1,2,IND
KH Pandya,2021-2021,5.0,4,2,130,58,65.0,128,101.56,0,1,0,IND
RJ Trott,2007-2009,11.0,10,4,130,48,21.66,249,52.2,0,0,1,BER
KTGD Prasad,2006-2015,24.0,12,6,129,31,21.5,146,88.35,0,0,1,SL
D Ravu,2017-2022,18.0,17,7,129,38,12.9,197,65.48,0,0,4,PNG
DT Hondo,2001-2005,56.0,29,12,127,17,7.47,249,51.0,0,0,4,ZIM
PHKD Mendis,2019-2022,7.0,7,1,127,57,21.16,214,59.34,0,1,0,SL
A Nel,2001-2008,79.0,22,12,127,30,12.7,166,76.5,0,0,2,SA
B Sai Sudharsan,2023-2023,3.0,3,1,127,62,63.5,142,89.43,0,2,0,IND
Yasir Shah,2011-2019,25.0,13,6,127,32,18.14,149,85.23,0,0,2,PAK
KJ Arnott,1992-1993,9.0,9,2,126,52,18.0,276,45.65,0,1,0,ZIM
Dhiman Ghosh,2008-2008,14.0,12,3,126,30,14.0,201,62.68,0,0,3,BAN
N Dutta,2013-2024,7.0,6,2,126,56,31.5,202,62.37,0,1,1,CAN
M Kartik,2002-2007,37.0,14,5,126,32,14.0,178,70.78,0,0,1,IND
CE McConchie,2023-2023,6.0,5,2,126,64,42.0,127,99.21,0,1,0,NZ
A Nao,2017-2023,26.0,20,10,126,46,12.6,134,94.02,0,0,1,PNG
CP Senanayake,1990-1991,7.0,7,0,126,27,18.0,211,59.71,0,0,1,SL
JR Hazlewood,2010-2024,86.0,32,25,125,23,17.85,137,91.24,0,0,3,AUS
PA Jaques,2006-2007,6.0,6,0,125,94,20.83,176,71.02,0,1,1,AUS
Kaleemullah,2019-2023,39.0,23,10,125,20,9.61,120,104.16,0,0,3,OMA
MC Sorensen,2013-2016,13.0,8,2,125,31,20.83,155,80.64,0,0,0,IRE
CA Young,2014-2024,45.0,24,12,125,40,10.41,157,79.61,0,0,5,IRE
A Maregwede,2003-2005,11.0,11,1,124,37,12.4,218,56.88,0,0,1,ZIM
JA Samarasekera,1994-1996,7.0,6,2,124,47,31.0,215,57.67,0,0,0,UAE
M van Jaarsveld,2002-2004,11.0,7,1,124,45,20.66,169,73.37,0,0,1,SA
LR Williams,1996-2001,15.0,13,2,124,41,11.27,186,66.66,0,0,2,WI
Ziaur Rahman,2013-2014,13.0,11,0,124,41,11.27,110,112.72,0,0,3,BAN
CD de Lange,2016-2017,13.0,10,4,123,26,20.5,200,61.5,0,0,0,SCOT
RL Bhudia,2008-2009,5.0,5,0,122,47,24.4,124,98.38,0,0,0,KENYA
CRM Douglas,2008-2008,2.0,2,0,122,69,61.0,218,55.96,0,2,0,BER
LH Ferguson,2016-2023,65.0,30,13,122,19,7.17,236,51.69,0,0,4,NZ
Mahedi Hasan,2021-2023,11.0,10,2,122,29,15.25,188,64.89,0,0,0,BAN
B Muzarabani,2018-2024,48.0,36,13,122,17,5.3,253,48.22,0,0,12,ZIM
BA Parchment,2007-2008,7.0,7,0,122,48,17.42,217,56.22,0,0,0,WI
B Evans,2022-2023,15.0,13,3,121,33,12.1,150,80.66,0,0,1,ZIM
SK Gupta,1996-2001,10.0,10,1,121,41,13.44,220,55.0,0,0,3,KENYA
GJAF Aponso,1996-1996,5.0,4,0,120,58,30.0,247,48.58,0,1,0,NED
L Balaji,2002-2009,30.0,16,6,120,21,12.0,152,78.94,0,0,2,IND
Riaz Hassan,2022-2023,5.0,4,0,120,50,30.0,192,62.5,0,1,0,AFG
DBL Powell,2002-2009,55.0,25,3,118,48,5.36,164,71.95,0,0,8,WI
AK Sharma,1990-1993,10.0,9,1,118,59,14.75,156,75.64,0,1,2,IND
JN Snape,2001-2002,10.0,7,3,118,38,29.5,173,68.2,0,0,0,ENG
V Yadav,1992-1994,19.0,12,2,118,34,11.8,116,101.72,0,0,2,IND
DH Brain,1992-1995,23.0,18,4,117,27,8.35,171,68.42,0,0,2,ZIM
L Gregory,2021-2021,3.0,2,0,117,77,58.5,116,100.86,0,1,0,ENG
MC Henriques,2009-2021,16.0,15,2,117,22,9.0,192,60.93,0,0,0,AUS
NB Mahwire,2004-2006,23.0,19,8,117,22,10.63,249,46.98,0,0,2,ZIM
CAK Rajitha,2018-2023,34.0,19,7,117,33,9.75,184,63.58,0,0,4,SL
FL Reifer,1997-2009,8.0,8,0,117,40,14.62,229,51.09,0,0,0,WI
Azam Khan,1996-1998,6.0,5,0,116,72,23.2,177,65.53,0,1,0,PAK
Hamza Tariq,2011-2014,7.0,7,0,116,71,16.57,157,73.88,0,1,2,CAN
GF Labrooy,1990-1992,14.0,13,3,116,22,11.6,145,80.0,0,0,1,SL
RD Gaikwad,2022-2023,6.0,6,0,115,71,19.16,157,73.24,0,1,0,IND
GK Khoda,1998-1998,2.0,2,0,115,89,57.5,185,62.16,0,1,0,IND
GD McGrath,1993-2007,250.0,68,38,115,11,3.83,236,48.72,0,0,14,AUS
MA Carberry,2013-2014,6.0,6,0,114,63,19.0,180,63.33,0,1,0,ENG
C Carter,2015-2018,11.0,9,0,114,43,12.66,186,61.29,0,0,0,HKG
MO Jones,2006-2007,12.0,12,2,113,27,11.3,149,75.83,0,0,1,BER
DL Maddy,1998-2000,8.0,6,0,113,53,18.83,206,54.85,0,1,1,ENG
MJ Cosgrove,2006-2006,3.0,3,0,112,74,37.33,116,96.55,0,1,0,AUS
Haseeb Amjad,2014-2016,7.0,6,1,112,42,22.4,85,131.76,0,0,1,HKG
DP Hyatt,2011-2011,9.0,9,1,112,39,14.0,188,59.57,0,0,1,WI
RDM Leverock,2006-2009,32.0,19,9,111,20,11.1,382,29.05,0,0,1,BER
JDF Vandersay,2015-2024,22.0,14,4,111,25,11.1,233,47.63,0,0,2,SL
Taijul Islam,2014-2024,20.0,12,1,110,39,10.0,174,63.21,0,0,1,BAN
MG Burmester,1992-1995,8.0,7,1,109,39,18.16,207,52.65,0,0,0,ZIM
MJ McClenaghan,2013-2016,48.0,14,10,108,34,27.0,138,78.26,0,0,0,NZ
CJ McDermott,1990-1996,74.0,34,8,108,16,4.15,149,72.48,0,0,8,AUS
SS McKechnie,2017-2018,8.0,8,1,108,29,15.42,193,55.95,0,0,2,HKG
R Murray,2018-2018,5.0,5,1,108,47,27.0,178,60.67,0,0,0,ZIM
Hamid Hassan,2009-2019,38.0,22,6,107,17,6.68,195,54.87,0,0,4,AFG
NA Saini,2019-2021,8.0,5,3,107,45,53.5,137,78.1,0,0,0,IND
CR Foggo,2008-2008,4.0,4,0,106,60,26.5,174,60.91,0,1,0,BER
SR Hain,2023-2023,2.0,2,0,106,89,53.0,100,106.0,0,1,0,ENG
KO Meth,2006-2012,11.0,8,0,106,53,13.25,183,57.92,0,1,2,ZIM
RK Kleinveldt,2013-2013,10.0,7,0,105,43,15.0,124,84.67,0,0,1,SA
DSBP Kuruppu,1990-1990,5.0,5,0,105,41,21.0,167,62.87,0,0,0,SL
CD Collymore,1999-2007,84.0,35,17,104,13,5.77,261,39.84,0,0,8,WI
D Elgar,2012-2018,8.0,7,1,104,42,17.33,177,58.75,0,0,0,SA
BP Nash,2008-2009,9.0,7,3,104,39,26.0,141,73.75,0,0,0,WI
RP Singh,2005-2011,58.0,20,10,104,23,10.4,242,42.97,0,0,3,IND
Junaid Siddique,2019-2024,46.0,31,11,103,16,5.15,171,60.23,0,0,8,UAE
MW Priest,1990-1998,18.0,14,4,103,24,10.3,225,45.77,0,0,2,NZ
JW Wilson,1993-2005,6.0,6,1,103,44,20.6,112,91.96,0,0,1,NZ
Ehsan Khan,2016-2018,15.0,12,3,102,27,11.33,228,44.73,0,0,2,HKG
Waqas Barkat,2014-2018,10.0,10,2,102,27,12.75,184,55.43,0,0,3,HKG
Yasir Ali,2022-2023,9.0,7,0,102,50,14.57,114,89.47,0,1,1,BAN
Arshad Laeeq,1994-1996,6.0,6,1,101,43,20.2,215,46.97,0,0,1,UAE
XJ Doherty,2010-2015,60.0,23,16,101,15,14.42,184,54.89,0,0,2,AUS
RO Hinds,2001-2004,14.0,9,3,101,18,16.83,170,59.41,0,0,0,WI
WR James,1992-1996,11.0,8,1,101,29,14.42,255,39.6,0,0,1,ZIM
Tabarak Dar,2004-2008,4.0,4,0,101,36,25.25,175,57.71,0,0,0,HKG
S Elworthy,1998-2002,39.0,16,8,100,23,12.5,160,62.5,0,0,3,SA
AC Evans,2009-2023,42.0,19,8,100,28,9.09,157,63.69,0,0,3,SCOT
WB Rankin,2007-2020,75.0,34,21,100,18,7.69,239,41.84,0,0,4,IRE
Shahzaib Hasan,2010-2010,3.0,3,0,100,50,33.33,113,88.49,0,1,0,PAK
NMK Smith,1996-1996,7.0,6,1,100,31,20.0,132,75.75,0,0,0,ENG
CJ Bowes,2023-2023,6.0,6,0,99,51,16.5,119,83.19,0,1,0,NZ
LV Garrick,2001-2001,3.0,3,0,99,76,33.0,204,48.52,0,1,0,WI
AFG Griffith,1996-2000,9.0,8,1,99,47,14.14,177,55.93,0,0,0,WI
Irfan Ahmed,2008-2014,6.0,6,0,99,37,16.5,125,79.2,0,0,1,HKG
Saad Nasim,2015-2015,3.0,3,1,99,77,49.5,124,79.83,0,1,1,PAK
DCC Borden,2006-2008,12.0,11,4,98,24,14.0,195,50.25,0,0,2,BER
GJ Crocker,1992-1993,6.0,5,1,98,50,24.5,105,93.33,0,1,0,ZIM
LR Johnson,2008-2015,6.0,6,0,98,51,16.33,175,56.0,0,1,1,WI
I Maraj,2003-2003,6.0,6,1,98,53,19.6,264,37.12,0,1,2,CAN
Mohammad Ishaq,1994-1996,5.0,5,1,98,51,24.5,130,75.38,0,1,0,UAE
S Movva,2024-2024,7.0,6,1,98,40,19.6,131,74.8,0,0,0,CAN
SJ Rhodes,1994-1995,6.0,6,1,98,56,19.6,133,73.68,0,1,0,ENG
Sohrawordi Shuvo,2010-2011,17.0,10,3,98,20,14.0,135,72.59,0,0,0,BAN
GM Ewing,2004-2005,7.0,7,0,97,46,13.85,137,70.8,0,0,2,ZIM
AL Kandappah,2007-2007,2.0,2,1,97,69,97.0,156,62.17,0,1,0,CAN
SP Khakurel,2018-2022,6.0,6,0,97,50,16.16,193,50.25,0,1,1,NEP
Manzoor Akhtar,1997-1998,7.0,4,0,97,44,24.25,147,65.98,0,0,0,PAK
Ravinderpal Singh,2023-2023,5.0,5,1,97,34,24.25,112,86.6,0,0,0,CAN
JTS Sumerauer,2023-2023,5.0,4,0,97,35,24.25,88,110.22,0,0,0,JER
PA van Meekeren,2013-2023,22.0,19,8,97,21,8.81,139,69.78,0,0,4,NED
MP Bicknell,1990-1991,7.0,6,2,96,31,24.0,104,92.3,0,0,0,ENG
M Levitt,2024-2024,4.0,4,0,96,57,24.0,122,78.68,0,1,2,NED
D Myers,2021-2022,5.0,5,0,96,34,19.2,157,61.14,0,0,0,ZIM
Aamer Yamin,2015-2018,4.0,3,2,95,62,95.0,96,98.95,0,1,0,PAK
D Daesrath,2012-2013,4.0,3,0,95,40,31.66,137,69.34,0,0,0,CAN
AA Donald,1991-2003,164.0,40,18,95,13,4.31,279,34.05,0,0,12,SA
Mohammad Naim,2020-2023,8.0,7,0,95,28,13.57,157,60.5,0,0,1,BAN
Mohammad Tauqir,2004-2015,11.0,9,2,95,55,13.57,164,57.92,0,1,0,UAE
HK Olonga,1995-2003,50.0,27,14,95,31,7.3,163,58.28,0,0,6,ZIM
JS Patel,2005-2017,43.0,15,8,95,34,13.57,162,58.64,0,0,1,NZ
KL Tucker,2006-2007,12.0,12,2,95,34,9.5,246,38.61,0,0,1,BER
PC de Silva,2014-2017,7.0,7,1,94,44,15.66,112,83.92,0,0,0,SL
VC Drakes,1995-2004,34.0,17,5,94,25,7.83,174,54.02,0,0,2,WI
NA Greenwood,2023-2023,5.0,5,0,94,59,18.8,136,69.11,0,1,0,JER
GFJ Liebenberg,1995-1998,4.0,4,0,94,39,23.5,199,47.23,0,0,0,SA
Mohammed Qasim,2017-2017,5.0,5,0,94,41,18.8,188,50.0,0,0,0,UAE
Kabir Ali,2003-2006,14.0,9,3,93,39,15.5,108,86.11,0,0,2,ENG
Y Cariah,2022-2023,14.0,7,1,93,52,15.5,166,56.02,0,1,0,WI
MR Gillespie,2006-2009,32.0,14,8,93,28,15.5,118,78.81,0,0,1,NZ
JA Richardson,2018-2022,15.0,9,4,93,29,18.6,107,86.91,0,0,0,AUS
V Mehra,1994-1996,6.0,6,1,92,43,18.4,202,45.54,0,0,0,UAE
T Munyonga,2022-2023,7.0,6,1,92,30,18.4,134,68.65,0,0,0,ZIM
BC Strang,1995-2001,49.0,26,8,92,18,5.11,220,41.81,0,0,5,ZIM
JJ Bumrah,2016-2023,89.0,26,14,91,16,7.58,159,57.23,0,0,5,IND
Faruk Ahmed,1990-1999,5.0,5,0,91,57,18.2,220,41.36,0,1,0,BAN
SJ Harmison,2002-2009,58.0,25,14,91,18,8.27,141,64.53,0,0,3,ENG
JV Harris,2003-2003,6.0,6,0,91,31,15.16,204,44.6,0,0,0,CAN
L Ngidi,2018-2023,56.0,22,14,91,19,11.37,185,49.18,0,0,4,SA
SG Peall,1992-1996,21.0,15,1,91,21,6.5,150,60.66,0,0,4,ZIM
DP Samaraweera,1993-1994,5.0,4,0,91,49,22.75,169,53.84,0,0,0,SL
SM Sharma,2023-2024,10.0,8,4,91,44,22.75,104,87.5,0,0,0,UAE
DB Vengsarkar,1990-1991,5.0,4,0,91,54,22.75,124,73.38,0,1,1,IND
SK Atai,2019-2022,15.0,12,3,90,25,10.0,173,52.02,0,0,0,PNG
RT Lyons,2006-2010,25.0,14,10,90,28,22.5,147,61.22,0,0,0,SCOT
GB Murgatroyd,2003-2003,6.0,6,0,90,52,15.0,145,62.06,0,1,2,NAM
A Ratra,2002-2002,12.0,8,1,90,30,12.85,127,70.86,0,0,0,IND
Shariz Ahmad,2022-2024,14.0,11,1,90,30,9.0,148,60.81,0,0,0,NED
Aamer Hanif,1993-1995,5.0,4,2,89,36,44.5,128,69.53,0,0,0,PAK
SSD Arachchige,2023-2024,5.0,3,0,89,57,29.66,134,66.41,0,1,0,SL
Bilawal Bhatti,2013-2015,10.0,7,1,89,39,14.83,75,118.66,0,0,1,PAK
PBB Rajapaksa,2021-2021,5.0,5,0,89,65,17.8,85,104.7,0,1,3,SL
JJ van der Wath,2006-2007,10.0,8,2,89,37,14.83,70,127.14,0,0,3,SA
SS Cottrell,2015-2021,38.0,19,11,88,17,11.0,130,67.69,0,0,2,WI
B Mavuta,2018-2023,12.0,8,2,88,28,14.66,88,100.0,0,0,1,ZIM
Raees Ahmadzai,2009-2010,5.0,4,1,88,39,29.33,137,64.23,0,0,0,AFG
K Jethi,2008-2008,3.0,3,1,87,46,43.5,79,110.12,0,0,0,CAN
MA Agarwal,2020-2020,5.0,5,0,86,32,17.2,83,103.61,0,0,0,IND
AD Mullally,1996-2001,50.0,25,10,86,20,5.73,238,36.13,0,0,6,ENG
DR Pringle,1990-1993,19.0,10,4,86,30,14.33,80,107.5,0,0,0,ENG
M Spoors,2023-2023,5.0,5,0,86,33,17.2,157,54.77,0,0,0,CAN
R Vinay Kumar,2010-2013,31.0,13,4,86,27,9.55,146,58.9,0,0,2,IND
BV Vitori,2011-2018,24.0,14,3,86,20,7.81,90,95.55,0,0,5,ZIM
NE Bonner,2021-2022,6.0,6,1,85,31,17.0,135,62.96,0,0,2,WI
PB Dassanayake,1993-1994,16.0,10,2,85,20,10.62,142,59.85,0,0,0,SL
PJC Hoffmann,2006-2007,18.0,14,3,85,31,7.72,69,123.18,0,0,3,SCOT
KAD Hurdle,2006-2007,19.0,13,5,85,22,10.62,101,84.15,0,0,2,BER
SI Mahmood,2004-2009,26.0,15,4,85,22,7.72,101,84.15,0,0,3,ENG
IG Butler,2002-2010,26.0,13,5,84,25,10.5,154,54.54,0,0,2,NZ
SF Dukanwala,1996-1996,5.0,4,2,84,40,42.0,139,60.43,0,0,0,UAE
GI Maiden,2010-2011,7.0,6,2,84,31,21.0,133,63.15,0,0,1,SCOT
Saqib Ali,2008-2014,5.0,5,1,84,25,21.0,129,65.11,0,0,0,UAE
OAC Banks,2003-2005,5.0,5,0,83,33,16.6,149,55.7,0,0,0,WI
GH Bodi,2007-2007,2.0,2,0,83,51,41.5,132,62.87,0,1,0,SA
AG Davies,1999-1999,5.0,5,1,83,32,20.75,154,53.89,0,0,1,SCOT
LHD Dilhara,2005-2013,9.0,9,0,83,29,9.22,107,77.57,0,0,1,SL
KA Jamieson,2020-2023,13.0,6,2,83,25,20.75,102,81.37,0,0,0,NZ
Shoriful Islam,2021-2024,36.0,20,9,83,16,7.54,106,78.3,0,0,1,BAN
R Strydom,2008-2008,9.0,6,0,83,37,13.83,155,53.54,0,0,0,IRE
Azhar Hossain,1990-1990,4.0,4,0,82,54,20.5,214,38.31,0,1,0,BAN
RR David,2008-2010,4.0,3,0,82,48,27.33,170,48.23,0,0,0,CAN
C Hemraj,2018-2018,6.0,6,0,82,32,13.66,98,83.67,0,0,0,WI
LJ Koen,1997-2000,5.0,5,0,82,28,16.4,169,48.52,0,0,1,SA
DB Kotze,2003-2003,6.0,6,1,82,27,16.4,135,60.74,0,0,0,NAM
GT Main,2019-2022,14.0,4,3,82,64,82.0,87,94.25,0,1,0,SCOT
PWA Mulder,2017-2023,15.0,12,4,82,19,10.25,104,78.84,0,0,1,SA
Nasir Aziz,2014-2015,5.0,3,0,82,60,27.33,125,65.6,0,1,0,UAE
Mahbubul Alam,2009-2009,5.0,2,0,81,59,40.5,71,114.08,0,1,0,BAN
AM Phangiso,2013-2016,21.0,13,2,81,20,7.36,162,50.0,0,0,3,SA
GA Rogers,2006-2008,13.0,8,3,81,26,16.2,169,47.92,0,0,1,SCOT
Shahid Wasif,2016-2018,10.0,7,0,81,45,11.57,163,49.69,0,0,1,HKG
S Sriram,2000-2004,8.0,7,1,81,57,13.5,135,60.0,0,1,1,IND
Syed Rasel,2005-2010,52.0,27,11,81,15,5.06,185,43.78,0,0,5,BAN
JNT Vare,2014-2018,9.0,9,1,81,28,10.12,110,73.63,0,0,0,PNG
Jai P Yadav,2002-2005,12.0,7,3,81,69,20.25,123,65.85,0,1,2,IND
Aftab Alam,2010-2019,27.0,17,10,80,16,11.42,107,74.76,0,0,3,AFG
G Goudie,2008-2013,16.0,11,3,80,23,10.0,99,80.8,0,0,2,SCOT
TR Gripper,2001-2003,8.0,8,0,80,26,10.0,187,42.78,0,0,1,ZIM
Hammad Azam,2011-2015,11.0,7,2,80,36,16.0,131,61.06,0,0,0,PAK
JB Little,2019-2023,36.0,14,5,80,29,8.88,84,95.23,0,0,3,IRE
Mohammad Wasim (1),2022-2023,20.0,9,2,80,17,11.42,82,97.56,0,0,1,PAK
Sajid Ali,1991-1997,7.0,7,0,80,28,11.42,146,54.79,0,0,0,PAK
TD Astle,2017-2019,9.0,5,2,79,49,26.33,77,102.59,0,0,0,NZ
S Badrinath,2008-2011,7.0,6,1,79,27,15.8,172,45.93,0,0,0,IND
Shahadat Hossain,2006-2013,51.0,27,17,79,16,7.9,151,52.31,0,0,3,BAN
UT Yadav,2010-2018,75.0,24,14,79,18,7.9,134,58.95,0,0,4,IND
AC Dale,1997-2000,30.0,12,8,78,15,19.5,136,57.35,0,0,1,AUS
MW Rushmere,1992-1992,4.0,4,0,78,35,19.5,174,44.82,0,0,0,SA
Sami Aslam,2015-2016,4.0,4,0,78,45,19.5,117,66.66,0,0,0,PAK
YS Chahal,2016-2023,72.0,14,5,77,18,8.55,141,54.6,0,0,1,IND
NM Lyon,2012-2019,29.0,14,10,77,30,19.25,83,92.77,0,0,1,AUS
KJ Abbott,2013-2016,28.0,13,4,76,23,8.44,126,60.31,0,0,1,SA
TL Best,2004-2014,26.0,16,8,76,24,9.5,125,60.8,0,0,1,WI
MNK Fernando,2023-2023,4.0,4,0,75,50,18.75,105,71.42,0,1,0,SL
CA Lynn,2017-2018,4.0,4,0,75,44,18.75,89,84.26,0,0,1,AUS
KW Richardson,2013-2020,25.0,12,7,75,24,15.0,68,110.29,0,0,2,AUS
KDK Vithanage,2013-2014,6.0,6,1,75,27,15.0,90,83.33,0,0,0,SL
B Ward,2023-2023,5.0,5,1,75,46,18.75,121,61.98,0,0,0,JER
NG Jones,2010-2011,14.0,9,4,74,25,14.8,102,72.54,0,0,0,IRE
MS Kasprowicz,1995-2005,43.0,13,9,74,28,18.5,89,83.14,0,0,2,AUS
MM Patel,2006-2011,70.0,27,16,74,15,6.72,112,66.07,0,0,4,IND
Yasir Arafat,2000-2009,11.0,8,3,74,27,14.8,110,67.27,0,0,0,PAK
